file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-26_RNAi-27657.25750-1_group1_20,20,244.218,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_21,21,162.343,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_22,22,232.047,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_23,23,171.077,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_24,24,172.282,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_26,26,178.521,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_27,27,134.176,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_28,28,150.437,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_29,29,148.347,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.25750-1_group1_30,30,167.383,2021-03-26,group1,1,27657,25750,27657_25750,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_20,20,176.515,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_21,21,291.373,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_22,22,236.037,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_23,23,238.293,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_24,24,166.505,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_26,26,139.522,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_27,27,156.228,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_28,28,170.264,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_29,29,150.268,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-27657.3954-1_group1_30,30,264.401,2021-03-26,group1,1,27657,3954,27657_3954,attP2,FBgn0038851(dmrt93B)
2021-03-26_RNAi-28306.25750-1_group1_20,20,130.256,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_21,21,160.161,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_22,22,153.02,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_23,23,183.206,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_24,24,160.161,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_26,26,190.1,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_27,27,59.363,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_28,28,145.337,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_29,29,182.127,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-28306.25750-1_group1_30,30,142.594,2021-03-26,group1,1,28306,25750,28306_25750,attP2,Calx
2021-03-26_RNAi-32913.25750-1_group2_24,24,104.527,2021-03-26,group2,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-26_RNAi-32913.25750-1_group2_26,26,184.388,2021-03-26,group2,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_20,20,197.261,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_21,21,161.478,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_22,22,143.023,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_23,23,145.38,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_24,24,148.952,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_26,26,131.158,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_27,27,144.178,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_28,28,54.244,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_29,29,179.404,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
2021-03-26_RNAi-32913.3954-1_group1_30,30,127.392,2021-03-26,group1,1,32913,3954,32913_3954,attP2,Atpalpha
