FileName,Chamber,...3,file,incapacitation,Rvar,date,group,chamber,rep,genotype,cross
2021-04-08_RNAi-32913.25750-2_group1,24,NA,2021-04-08_RNAi-32913.25750-2_group1_24,79.518,2.727300000000014,2021-04-08,group1,24,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,26,NA,2021-04-08_RNAi-32913.25750-2_group1_26,1.019,6.678799999999967,2021-04-08,group1,26,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,27,NA,2021-04-08_RNAi-32913.25750-2_group1_27,10.024,2.470700000000022,2021-04-08,group1,27,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,28,NA,2021-04-08_RNAi-32913.25750-2_group1_28,1.019,8.317099999999982,2021-04-08,group1,28,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,29,NA,2021-04-08_RNAi-32913.25750-2_group1_29,69.354,3.6363000000000056,2021-04-08,group1,29,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,30,NA,2021-04-08_RNAi-32913.25750-2_group1_30,54.34,1.5142999999999915,2021-04-08,group1,30,2,32913,25750
2021-04-08_RNAi-33545.3954-2_group1,20,NA,2021-04-08_RNAi-33545.3954-2_group1_20,75.038,5.354000000000042,2021-04-08,group1,20,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,21,NA,2021-04-08_RNAi-33545.3954-2_group1_21,89.544,1.1465000000000032,2021-04-08,group1,21,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,22,NA,2021-04-08_RNAi-33545.3954-2_group1_22,68.043,1.210899999999981,2021-04-08,group1,22,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,23,NA,2021-04-08_RNAi-33545.3954-2_group1_23,103.887,3.288499999999999,2021-04-08,group1,23,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,24,NA,2021-04-08_RNAi-33545.3954-2_group1_24,72.38,1.446300000000008,2021-04-08,group1,24,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,26,NA,2021-04-08_RNAi-33545.3954-2_group1_26,84.896,2.6223999999999705,2021-04-08,group1,26,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,27,NA,2021-04-08_RNAi-33545.3954-2_group1_27,87.956,7.135500000000036,2021-04-08,group1,27,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,28,NA,2021-04-08_RNAi-33545.3954-2_group1_28,83.248,4.5978000000000065,2021-04-08,group1,28,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,29,NA,2021-04-08_RNAi-33545.3954-2_group1_29,75.038,1.6725999999999885,2021-04-08,group1,29,2,33545,3954
2021-04-08_RNAi-33545.3954-2_group1,30,NA,2021-04-08_RNAi-33545.3954-2_group1_30,310.497,146.31680000000003,2021-04-08,group1,30,2,33545,3954
2021-04-08_RNAi-50656.25750-2_group1,20,NA,2021-04-08_RNAi-50656.25750-2_group1_20,18.534,1.2510000000000048,2021-04-08,group1,20,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,21,NA,2021-04-08_RNAi-50656.25750-2_group1_21,52.728,2.49369999999999,2021-04-08,group1,21,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,22,NA,2021-04-08_RNAi-50656.25750-2_group1_22,22.89,3.9505000000000337,2021-04-08,group1,22,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,23,NA,2021-04-08_RNAi-50656.25750-2_group1_23,46.923,3.8693999999999846,2021-04-08,group1,23,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,24,NA,2021-04-08_RNAi-50656.25750-2_group1_24,46.448,1.5897999999999968,2021-04-08,group1,24,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,26,NA,2021-04-08_RNAi-50656.25750-2_group1_26,29.264,1.8185000000000002,2021-04-08,group1,26,2,50656,25750
2021-04-08_RNAi-50656.25750-2_group1,27,NA,2021-04-08_RNAi-50656.25750-2_group1_27,16.483,10.115499999999997,2021-04-08,group1,27,2,50656,25750
