"feature","id","fc","pval","qval","tname"
"gene","MSTRG.2840",0.546883590010575,0.0460931397372761,0.480368277172009,"MSTRG.2840.2"
"gene","MSTRG.1321",1.43990371996583,0.0461280177853416,0.480368277172009,"FBtr0079150"
"gene","MSTRG.4913",1.19345104399233,0.0461360687618345,0.480368277172009,"FBtr0088781"
"gene","MSTRG.11499",0.734487817912221,0.0463914728663102,0.482327110482303,"FBtr0074921"
"gene","MSTRG.923",0.828342751174494,0.0464687504250352,0.482327110482303,"FBtr0113019"
"gene","MSTRG.570",0.80151680717435,0.0465925364734794,0.482327110482303,"FBtr0304710"
"gene","MSTRG.16922",0.763529022942372,0.0466457476484322,0.482327110482303,"FBtr0085535"
"gene","MSTRG.2005",0.680302017732849,0.0466581579685451,0.482327110482303,"FBtr0079894"
"gene","MSTRG.572",1.28726935246447,0.0466840822972379,0.482327110482303,"MSTRG.572.3"
"gene","MSTRG.21028",2.0502035121052,0.0468864639319693,0.482327110482303,"MSTRG.21028.1"
"gene","MSTRG.13932",0.519881531326785,0.0469657891699883,0.482327110482303,"MSTRG.13932.1"
"gene","MSTRG.17813",0.757669813490899,0.0469999776047463,0.482327110482303,"FBtr0070406"
"gene","MSTRG.7742",0.761421290011964,0.047041186953108,0.482327110482303,"FBtr0072083"
"gene","MSTRG.8914",0.824657422175624,0.0470528564242512,0.482327110482303,"FBtr0308033"
"gene","MSTRG.11905",1.21910089851343,0.0470863535894812,0.482327110482303,"FBtr0333219"
"gene","MSTRG.16594",0.664693057936094,0.0470923321149572,0.482327110482303,"FBtr0085200"
"gene","MSTRG.16997",0.77512004975942,0.0472635440210332,0.482908361165435,"FBtr0085583"
"gene","MSTRG.18327",0.713397867533372,0.0473212396207242,0.482908361165435,"MSTRG.18327.1"
"gene","MSTRG.4629",0.794344938155963,0.0473265575073316,0.482908361165435,"FBtr0086151"
"gene","MSTRG.7583",0.415841986336087,0.0475968069970345,0.484050736518413,"FBtr0100554"
"gene","MSTRG.19270",1.15126066055359,0.0476161253032886,0.484050736518413,"FBtr0073590"
"gene","MSTRG.17196",1.26606707652545,0.0476164083577466,0.484050736518413,"FBtr0085816"
"gene","MSTRG.3115",2.02099694030388,0.0478116777155473,0.485132160101778,"FBtr0080910"
