"feature","id","pval","qval","tname"
"gene","MSTRG.1100",0.511644737584271,0.580009770521966,"MSTRG.1100.3"
"gene","MSTRG.5886",0.511759535902689,0.580009770521966,"FBtr0087702"
"gene","MSTRG.11616",0.511781811940297,0.580009770521966,"FBtr0078198"
"gene","MSTRG.14511",0.512046606200513,0.580088919435989,"MSTRG.14511.6"
"gene","MSTRG.20442",0.512067428881788,0.580088919435989,"FBtr0074683"
"gene","MSTRG.7820",0.51206804763443,0.580088919435989,"FBtr0072154"
"gene","MSTRG.13061",0.512163480282791,0.580115311047071,"FBtr0334541"
"gene","MSTRG.19446",0.51289679026228,0.580864101857379,"FBtr0073730"
"gene","MSTRG.3020",0.514065075401876,0.582105229003363,"FBtr0080848"
"gene","MSTRG.32",0.514538822718627,0.582559652583866,"MSTRG.32.1"
"gene","MSTRG.2860",0.515025879694013,0.582995328761079,"MSTRG.2860.1"
"gene","MSTRG.6277",0.515068616121296,0.582995328761079,"FBtr0309868"
"gene","MSTRG.13454",0.515962278976202,0.583924661909177,"MSTRG.13454.1"
"gene","MSTRG.12553",0.516531739643734,0.584486879163488,"MSTRG.12553.1"
"gene","MSTRG.5314",0.517506866677862,0.585507909654385,"FBtr0088337"
"gene","MSTRG.18229",0.517751262435165,0.585702018920186,"MSTRG.18229.1"
"gene","MSTRG.7892",0.518180793299229,0.586056853178521,"MSTRG.7892.1"
"gene","MSTRG.6293",0.518210679302718,0.586056853178521,"MSTRG.6293.3"
"gene","MSTRG.13599",0.518924880689354,0.586782043096707,"FBtr0082113"
"gene","MSTRG.19855",0.519352653863915,0.5871831916735,"MSTRG.19855.1"
"gene","MSTRG.16553",0.519735842889485,0.587533827455333,"MSTRG.16553.4"
"gene","MSTRG.9471",0.520654013739851,0.588419015824464,"MSTRG.9471.24"
"gene","MSTRG.3918",0.520665222159523,0.588419015824464,"MSTRG.3918.18"
"gene","MSTRG.11149",0.520916068033228,0.58861978630367,"MSTRG.11149.2"
"gene","MSTRG.17924",0.521703614965491,0.589426871530272,"FBtr0070569"
"gene","MSTRG.5740",0.522121209527751,0.589815812195838,"FBtr0087841"
"gene","MSTRG.7467",0.522341609450986,0.589981913371465,"MSTRG.7467.2"
"gene","MSTRG.14415",0.522506797925658,0.590085615632375,"FBtr0273391"
"gene","MSTRG.3837",0.522633602256568,0.590145946271739,"FBtr0085896"
"gene","MSTRG.19109",0.523155413786053,0.590599577196355,"MSTRG.19109.1"
"gene","MSTRG.3504",0.523182216854866,0.590599577196355,"MSTRG.3504.1"
