"feature","id","pval","qval","tname"
"gene","MSTRG.3412",0.0141686238784752,0.0308139120439272,"FBtr0081146"
"gene","MSTRG.17664",0.0141693417978666,0.0308139120439272,"MSTRG.17664.1"
"gene","MSTRG.14827",0.0141765337530482,0.0308212177458809,"FBtr0083399"
"gene","MSTRG.15904",0.0142305211787739,0.0309302300864053,"MSTRG.15904.1"
"gene","MSTRG.11661",0.0142532240421319,0.0309712044709065,"FBtr0078246"
"gene","MSTRG.17450",0.0142665431829689,0.0309917720900692,"MSTRG.17450.1"
"gene","MSTRG.19114",0.01430523659314,0.0310639221942794,"FBtr0073427"
"gene","MSTRG.5848",0.0143074816970419,0.0310639221942794,"FBtr0087748"
"gene","MSTRG.779",0.0143172695433798,0.0310767831762105,"MSTRG.779.2"
"gene","MSTRG.13786",0.0143226871636513,0.0310801538505352,"MSTRG.13786.1"
"gene","MSTRG.15207",0.0143271786060224,0.0310815134474325,"MSTRG.15207.1"
"gene","MSTRG.17244",0.0143367636309119,0.031093919395845,"FBtr0085874"
"gene","MSTRG.20494",0.0143669800073616,0.0311510523643035,"FBtr0074745"
"gene","MSTRG.8631",0.0143981386970877,0.0312101971433907,"FBtr0072981"
"gene","MSTRG.17058",0.0144069887339049,0.0312209656152151,"FBtr0085650"
"gene","MSTRG.5229",0.0144362629991325,0.0312759771118059,"MSTRG.5229.4"
"gene","MSTRG.7455",0.0144950072563045,0.0313947881376786,"FBtr0303766"
"gene","MSTRG.20509",0.0145117377203963,0.0314225618598349,"FBtr0309217"
"gene","MSTRG.16080",0.0146021408474106,0.0316098026096571,"FBtr0084663"
"gene","MSTRG.6087",0.0146108203414752,0.0316200799747426,"FBtr0087433"
"gene","MSTRG.17815",0.0146210975434821,0.0316338085673077,"FBtr0070405"
"gene","MSTRG.9717",0.0146412442697782,0.0316688774657225,"FBtr0076525"
"gene","MSTRG.20658",0.0146603059578176,0.0317015812080585,"FBtr0077312"
"gene","MSTRG.12068",0.0146768734260343,0.0317288752935935,"FBtr0309729"
"gene","MSTRG.5665",0.0147708390050801,0.0319234311418582,"MSTRG.5665.1"
"gene","MSTRG.4362",0.0147874137802066,0.0319506667437995,"FBtr0111268"
"gene","MSTRG.14737",0.0147965146473364,0.0319617434310716,"FBtr0083288"
"gene","MSTRG.12923",0.0148346039230611,0.0320290822320005,"FBtr0344274"
"gene","MSTRG.87",0.01483565422957,0.0320290822320005,"MSTRG.87.1"
"gene","MSTRG.19057",0.0148516251614886,0.0320549569373837,"MSTRG.19057.1"
"gene","MSTRG.5985",0.0148624805330698,0.0320697795671981,"FBtr0087519"
"gene","MSTRG.18796",0.0149181173216141,0.0321811962179239,"MSTRG.18796.2"
"gene","MSTRG.17699",0.0149271777254256,0.0321921059983569,"FBtr0070308"
