gene_id,AH_1,AH_3,AL_1,AL_2,AL_3,AL_4,AL_5
MSTRG.20226,32,3,3,3,12,3,12
MSTRG.20227,0,0,0,0,4,3,4
MSTRG.20224,0,0,0,4,4,0,0
MSTRG.20225,73,47,31,46,99,16,17
MSTRG.20222,0,2,3,1,0,2,0
MSTRG.20223,16047,13356,7127,6116,10505,7676,5935
MSTRG.20220,345,287,234,208,991,269,245
MSTRG.20221,184,198,145,163,355,162,154
MSTRG.439,708,369,445,489,1866,544,406
MSTRG.438,7,10,5,16,8,0,3
MSTRG.437,469,577,454,335,787,389,262
MSTRG.436,908,1009,536,490,1491,463,509
MSTRG.435,13,2,0,2,18,6,2
MSTRG.434,8,0,2,3,2,0,6
MSTRG.433,12,10,5,21,38,12,19
MSTRG.432,737,532,373,362,983,462,401
MSTRG.431,59,59,39,38,59,33,38
MSTRG.430,27,43,19,15,10,2,6
MSTRG.17288,23,16,24,16,82,14,39
MSTRG.17289,1962,1576,1407,1309,3940,1290,1703
MSTRG.17286,944,576,547,547,2132,614,840
MSTRG.17287,39,19,16,23,55,38,19
MSTRG.17284,25,13,28,10,65,2,26
MSTRG.17285,249,194,393,226,996,216,400
MSTRG.17282,14,5,18,5,102,10,16
MSTRG.17283,672,286,577,360,1761,286,537
MSTRG.17280,46,51,76,64,137,48,59
MSTRG.17281,988,615,790,457,2180,474,632
MSTRG.14881,11,3,1,3,13,0,6
MSTRG.14880,0,3,4,2,4,0,4
MSTRG.14883,17,0,0,19,43,0,0
MSTRG.14882,0,0,27,14,21,9,18
MSTRG.14885,2089,1005,1342,1382,3504,1540,1506
MSTRG.14884,0,1,4,11,2,0,0
MSTRG.14887,61,172,73,47,258,68,80
MSTRG.14886,769,555,545,364,1605,452,567
MSTRG.14889,2672,2053,3151,2944,7861,2503,2564
MSTRG.14888,229,385,213,167,445,228,162
FBgn0263041,0,0,0,0,0,0,0
FBgn0263040,3,0,0,0,0,0,0
FBgn0261571,0,0,0,5,0,0,0
MSTRG.16627,1046,507,661,684,2770,846,785
MSTRG.16626,19,10,41,60,139,27,23
MSTRG.16625,6,5,7,15,9,5,6
MSTRG.16624,23,28,24,19,48,16,9
MSTRG.16623,1417,1039,663,763,1605,725,843
MSTRG.16622,10,1,2,0,4,3,2
MSTRG.16621,7,7,25,20,29,25,20
MSTRG.16620,14,12,29,69,61,31,37
FBgn0035167,26,17,29,6,87,17,16
MSTRG.16628,14,10,20,18,26,8,12
MSTRG.11938,802,366,367,489,814,390,342
MSTRG.11939,263,116,52,52,125,56,86
MSTRG.11932,113,70,95,171,188,111,97
MSTRG.11933,54,20,51,51,150,46,30
MSTRG.11930,8806,5644,6346,8173,17391,8266,7690
MSTRG.11931,2514,1519,1689,2592,3787,1863,1542
MSTRG.11936,165,146,159,144,244,128,144
MSTRG.11937,0,0,0,0,0,0,0
MSTRG.11934,53,21,44,41,120,49,39
MSTRG.11935,0,4,12,21,0,0,41
FBgn0259949,0,0,0,0,0,0,0
FBgn0034416,11,3,12,4,30,3,8
FBgn0034413,0,0,0,0,0,0,7
FBgn0034411,3,0,7,3,10,5,7
FBgn0262882,0,0,0,0,9,3,0
FBgn0262883,4,0,3,5,12,5,8
FBgn0262889,2,4,0,0,0,2,0
FBgn0265765,0,0,3,0,0,0,0
FBgn0023091,10,7,15,0,14,11,11
FBgn0033861,0,0,4,2,7,2,3
MSTRG.18566,8,5,16,12,39,12,12
MSTRG.18567,43,36,52,95,156,43,54
MSTRG.14418,15,2,6,6,26,11,19
MSTRG.14419,2,1,9,3,9,3,3
MSTRG.18562,236,153,140,188,488,156,173
MSTRG.18563,4,3,3,3,3,0,0
MSTRG.18560,125,85,175,146,1875,129,150
MSTRG.18561,52,18,22,39,48,18,28
MSTRG.14412,452,333,295,275,767,245,210
MSTRG.14413,782,362,274,251,771,164,147
MSTRG.14410,54,98,54,37,80,37,56
MSTRG.14411,424,228,214,190,710,236,197
MSTRG.14416,7807,10520,4834,4158,10958,4343,3418
MSTRG.14417,12,11,7,13,24,9,17
MSTRG.18568,8,6,3,15,38,9,4
MSTRG.18569,3,0,18,14,25,3,12
FBgn0263868,0,0,3,0,0,2,0
FBgn0263867,0,0,0,0,0,1,0
FBgn0263866,3,2,0,0,4,0,0
MSTRG.10917,0,0,11,6,0,0,7
MSTRG.10916,414,462,400,375,865,302,374
MSTRG.10915,8,6,17,17,29,26,6
MSTRG.10914,86,99,18,9,92,16,22
MSTRG.10913,67,37,85,76,257,66,87
MSTRG.10912,48,24,89,75,183,64,66
MSTRG.10911,4,0,2,3,0,3,0
MSTRG.10910,569,547,897,614,1444,683,526
MSTRG.10919,35,21,34,47,73,30,17
MSTRG.10918,16,18,17,37,92,32,27
FBgn0040553,2,7,5,5,9,0,4
MSTRG.5029,149,94,65,57,82,57,90
MSTRG.12519,0,30,49,33,105,23,41
MSTRG.12518,41,30,49,33,104,21,41
MSTRG.19769,349,249,269,247,858,323,274
MSTRG.19768,113,114,101,84,166,75,117
MSTRG.19767,3772,4649,3415,3658,7595,2982,2666
MSTRG.12510,213,144,196,242,381,191,209
MSTRG.12513,6,6,10,3,19,7,0
MSTRG.12512,126,92,227,71,491,83,152
MSTRG.12515,3,3,1,0,6,2,0
MSTRG.12514,3,2,2,1,2,2,0
MSTRG.19761,1917,1637,1183,1118,4035,1237,1373
MSTRG.19760,36,32,30,33,99,25,32
FBgn0053769,0,0,0,0,0,0,0
FBgn0053768,0,0,0,0,0,0,0
FBgn0053767,0,0,0,0,0,0,0
FBgn0053766,0,0,0,0,0,0,0
MSTRG.2719,204,283,109,90,187,105,49
