patRIL	chamber	Pre	Learning	Memory	file
A3.asc	6	-0.5067	0.6500	-0.5256	4.hbx
A3.asc	8	-0.1400	0.9528	0.8622	4.hbx
A3.asc	10	0.3933	0.9844	0.06778	4.hbx
A3.asc	11	0.3933	0.9278	1.000	4.hbx
A3.asc	14	0.6067	0.7450	-0.03111	4.hbx
A3.asc	15	0.4200	0.8450	0.8911	4.hbx
A3.asc	2	0.9867	0.9261	0.2600	5.hbx
A3.asc	5	0.8800	0.9267	0.5289	5.hbx
A3.asc	6	0.1333	0.9183	-0.3833	5.hbx
A3.asc	9	0.1333	0.9850	0.9189	5.hbx
A3.asc	10	-1.000	0.9400	0.5267	5.hbx
A3.asc	14	-0.2200	0.7822	0.1033	5.hbx
A3.asc	15	-0.9933	0.7206	0.2933	5.hbx
A3.asc	2	-0.5800	0.8972	1.000	6.hbx
A3.asc	4	1.000	0.7061	0.4156	6.hbx
A3.asc	5	0.1800	0.9517	0.7633	6.hbx
A3.asc	6	0.09333	0.8744	0.7133	6.hbx
A3.asc	8	-0.8200	0.7406	-0.7889	6.hbx
A3.asc	9	0.1800	0.4833	-0.3989	6.hbx
A3.asc	10	-0.2267	0.8544	-0.04111	6.hbx
A3.asc	11	-1.000	0.7939	0.3356	6.hbx
A3.asc	12	-0.2133	0.7344	0.04000	6.hbx
A3.asc	14	0.08000	0.6194	-0.09667	6.hbx
A3.asc	15	-0.08667	0.8339	0.1111	6.hbx
